상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,지번주소,경도,위도
유경빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동작구 노량진동 275-1,126.9358981,37.51210789
빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 서초구 반포동 736-11,127.0223841,37.50695349
운동화빨래방이불,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 강서구 화곡동 422-6,126.8424056,37.53218673
화이트운동화빨래방,,생활서비스,세탁/가사서비스,신발세탁,가정용 세탁업,서울특별시 강서구 화곡동 827-17,126.8585568,37.5340379
셀프빨래터,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 마포구 대흥동 20-5,126.9453853,37.55329861
하얀빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 성북구 장위동 231-87,127.0413711,37.61323441
셀프빨래방24시,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 신림동 1409-10,126.9337654,37.48549873
개미빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 영등포구 도림동 144-90,126.9022437,37.50924094
양지빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 중구 신당동 304-339,127.0131023,37.56329997
운동화빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 광진구 중곡동 240-4,127.079647,37.56335092
명백드라이빨래,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 동대문구 휘경동 155-10,127.0645921,37.59324643
월풀세탁빨래방,,생활서비스,세탁/가사서비스,세탁소/빨래방,가정용 세탁업,서울특별시 관악구 신림동 1435-2,126.9274539,37.48563983
화이트운동화빨래방,염창점,생활서비스,세탁/가사서비스,신발세탁,가정용 세탁업,서울특별시 강서구 염창동 249-4,126.8729962,37.55044031
